id,full_name,weight_class_description,elo,fight_count
532,Rafael Dos Anjos,Welterweight,1190,36
533,Thiago Tavares,Featherweight,1016,19
534,Shane Nelson,Lightweight,1017,5
535,Junior Dos Santos,Heavyweight,1204,24
536,Ryan Thomas,Welterweight,953,3
537,Logan Clark,Middleweight,1025,2
538,Nate Diaz,Lightweight,1167,28
539,Terry Etim,Lightweight,1017,12
540,Paul Kelly,Lightweight,1028,10
541,Johnny Rees,Welterweight,950,3
542,Efrain Escudero,Lightweight,984,13
543,Matthew Riddle,Welterweight,1094,13
544,Dustin Hazelett,Lightweight,1021,11
545,Jeremy Stephens,Featherweight,982,35
546,Tamdan McCrory,Welterweight,995,10
547,Steve Cantwell,Middleweight,907,7
548,Cale Yarbrough,Middleweight,976,2
549,Jon Jones,Heavyweight,1642,24
551,Dan Lauzon,Lightweight,951,4
552,Wes Albritton,Lightweight,989,2
553,Lowell Anderson,Middleweight,976,2
554,Romie Aram,Welterweight,976,2
555,Scott Baker,,977,2
556,Dave Berry,,1000,1
557,Asbel Cancio,Heavyweight,976,2
558,Frank Caracci,Lightweight,977,2
559,Dwayne Cason,Heavyweight,1001,3
560,Donnie Chappell,Lightweight,976,2
561,Bob Cook,Lightweight,1028,2
562,John Dowdy,,978,2
563,Ron Faircloth,Light Heavyweight,1000,2
564,Scott Fiedler,,977,2
565,Sam Fulton,Heavyweight,976,2
566,Sean Gannon,Heavyweight,977,2
567,Paul Georgieff,Welterweight,975,2
568,Jason Gilliam,Welterweight,951,3
569,He-Man Gipson,,1000,1
570,Steven Graham,Heavyweight,1013,3
571,Brad Gumm,Welterweight,985,3
572,Fabio Gurgel,,979,2
573,Mark Hall,,994,6
574,Frank Hamaker,,1025,2
575,Noe Hernandez,Middleweight,991,2
576,Paul Herrera,,985,2
577,Rex Holman,Light Heavyweight,975,2
578,Mark Hominick,Featherweight,993,8
579,Saeed Hosseini,Lightweight,975,2
580,Alex Hunter,Heavyweight,1051,3
581,Solomon Hutcherson,Middleweight,985,2
582,Valeri Ignatov,Lightweight,978,3
583,Steve Judson,Heavyweight,952,3
584,Sione Latu,Heavyweight,1025,2
585,David Lee,Lightweight,964,3
586,Jackie Lee,Lightweight,1000,1
587,Alberta Cerra Leon,,976,2
588,David Levicki,,975,2
589,Robert Lucarelli,,975,2
590,Thaddeus Luster,,975,2
591,Cesar Marscucci,Lightweight,1000,1
592,Eric Martin,Heavyweight,1000,1
593,Justin Martin,,1000,1
594,Francesco Maturi,,1000,1
595,Jack McGlaughlin,,1000,1
596,Keith Mielke,,1000,1
597,Billy Miles,Welterweight,976,2
598,Felix Lee Mitchell,,985,2
599,Scott Morris,,1002,3
600,Reza Nasri,,977,2
601,Jack Nilson,Lightweight,1025,2
602,Tulio Palhares,Middleweight,1025,2
603,Ryan Parker,,975,2
604,Onassis Parungao,,1000,1
605,Jorge Patino,Lightweight,987,2
606,Jason Reinhardt,Bantamweight,927,4
607,Johnny Rhodes,,1030,4
608,Tyrone Roberts,Middleweight,1025,2
609,Julian Sanchez,,985,2
610,Adriano Santos,Middleweight,975,2
611,Paulo Santos,Lightweight,1000,1
612,Dmitri Stepanov,Heavyweight,975,2
613,Josh Stuart,Lightweight,1000,1
614,Courtney Turner,Lightweight,1000,1
615,Yuri Vaulin,Lightweight,975,2
